date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:07	213908/213908	---M--	200	added ('OK')	image/gif	etag:%2265ddf093-34394%22	https://sedecordlegame.org/assets/img/squares-play.gif?v2	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/squares-play1b26.gif	(from https://sedecordlegame.org/)
20:08:07	2539/2539	---M--	200	added ('OK')	image/png	etag:%22654e9a79-9eb%22	https://sedecordlegame.org/assets/img/connections-play.png?v2	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/connections-play1b26.png	(from https://sedecordlegame.org/)
20:08:07	3656/3656	---M--	200	added ('OK')	image/png	etag:%2262fe25dc-e48%22	https://sedecordlegame.org/assets/img/spellingbee-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/spellingbee-play30f4.png	(from https://sedecordlegame.org/)
20:08:08	3711/3711	---M--	200	added ('OK')	image/png	etag:%2263fdeeae-e7f%22	https://sedecordlegame.org/assets/img/phrazle-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/phrazle-play30f4.png	(from https://sedecordlegame.org/)
20:08:08	4260/4260	---M--	200	added ('OK')	image/png	etag:%22636d63ac-10a4%22	https://sedecordlegame.org/assets/img/wordsearch-play.png?v5	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/wordsearch-play4b6d.png	(from https://sedecordlegame.org/)
20:08:08	716/716	---M--	200	added ('OK')	image/png	etag:%226346fcff-2cc%22	https://sedecordlegame.org/assets/img/crosswordle-play.png?v=4	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/crosswordle-play7b30.png	(from https://sedecordlegame.org/)
20:08:09	2758/2758	---M--	200	added ('OK')	image/png	etag:%2262fe25dc-ac6%22	https://sedecordlegame.org/assets/img/weaver-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/weaver-play30f4.png	(from https://sedecordlegame.org/)
20:08:09	3957/3957	---M--	200	added ('OK')	image/png	etag:%2262fe2b01-f75%22	https://sedecordlegame.org/assets/img/waffle-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/waffle-play30f4.png	(from https://sedecordlegame.org/)
20:08:11	4731/4731	---M--	200	added ('OK')	image/png	etag:%2262fe4284-127b%22	https://sedecordlegame.org/assets/img/globle-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/globle-play30f4.png	(from https://sedecordlegame.org/)
20:08:12	4045/4045	---M--	200	added ('OK')	image/png	etag:%2263515183-fcd%22	https://sedecordlegame.org/assets/img/worldle-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/worldle-play30f4.png	(from https://sedecordlegame.org/)
20:08:12	1932/1932	---M--	200	added ('OK')	image/png	etag:%2262fe25dc-78c%22	https://sedecordlegame.org/assets/img/numberle-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/numberle-play30f4.png	(from https://sedecordlegame.org/)
20:08:14	2211/2211	---M--	200	added ('OK')	image/png	etag:%2263363a89-8a3%22	https://sedecordlegame.org/assets/img/sudoku-play.png?v3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/sudoku-play43a0.png	(from https://sedecordlegame.org/)
20:08:14	6552/6552	---M--	200	added ('OK')	image/png	etag:%226306231f-1998%22	https://sedecordlegame.org/assets/img/solitaire-play.png?v=4	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/solitaire-play7b30.png	(from https://sedecordlegame.org/)
20:08:15	3319/3319	---M--	200	added ('OK')	image/png	etag:%22630e7a7c-cf7%22	https://sedecordlegame.org/assets/img/mahjong-play.png?v4	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/mahjong-play5ed3.png	(from https://sedecordlegame.org/)
20:08:20	25469/25469	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2018:08:19%20GMT	https://sedecordlegame.org/4-letter-sedecordle	D:/httrack/new/wordle-16-again/sedecordlegame.org/4-letter-sedecordle.html	(from https://sedecordlegame.org/)
20:08:21	25469/25469	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2018:08:21%20GMT	https://sedecordlegame.org/5-letter-sedecordle	D:/httrack/new/wordle-16-again/sedecordlegame.org/5-letter-sedecordle.html	(from https://sedecordlegame.org/)
20:08:23	25468/25468	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2018:08:23%20GMT	https://sedecordlegame.org/6-letter-sedecordle	D:/httrack/new/wordle-16-again/sedecordlegame.org/6-letter-sedecordle.html	(from https://sedecordlegame.org/)
20:08:24	11026/11026	---M--	200	added ('OK')	image/png	etag:%226315e856-2b12%22	https://sedecordlegame.org/assets/img/sedecordle.png	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/sedecordle.png	(from https://sedecordlegame.org/)
20:08:24	6272/6272	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226315e950-1880%22	https://sedecordlegame.org/assets/img/logo.svg?v1.65	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/logo330b.svg	(from https://sedecordlegame.org/)
20:08:26	13198/13198	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2018:08:25%20GMT	https://sedecordlegame.org/privacy-policy	D:/httrack/new/wordle-16-again/sedecordlegame.org/privacy-policy.html	(from https://sedecordlegame.org/)
20:08:26	102728/102728	---MCZ	200	added ('OK')	application/javascript	etag:W/%226269bdaa-19148%22	https://sedecordlegame.org/assets/js/libs.min.js?v1.65	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/js/libs.min330b.js	(from https://sedecordlegame.org/)
20:08:27	11284/11284	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631601c8-2c14%22	https://sedecordlegame.org/assets/js/main.min.js?v1.65	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/js/main.min330b.js	(from https://sedecordlegame.org/)
20:08:27	4547/4547	---MCZ	200	added ('OK')	application/javascript	etag:W/%226269bdaa-11c3%22	https://sedecordlegame.org/assets/js/animate.min.js?v1.65	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/js/animate.min330b.js	(from https://sedecordlegame.org/)
20:08:28	198689/198689	---MCZ	200	added ('OK')	application/javascript	etag:W/%226269bdaa-30821%22	https://sedecordlegame.org/assets/js/html2canvas.min.js	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/js/html2canvas.min.js	(from https://sedecordlegame.org/)
20:08:28	214423/214423	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267851879-34597%22	https://sedecordlegame.org/assets/js/sedecordlegame.js?v1.65	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/js/sedecordlegame330b.js	(from https://sedecordlegame.org/)
20:08:29	2736/2736	---MCZ	200	added ('OK')	application/javascript	etag:W/%226269bdaa-ab0%22	https://sedecordlegame.org/assets/js/FileSaver.min.js	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/js/FileSaver.min.js	(from https://sedecordlegame.org/)
20:08:29	969/969	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226269bdaa-3c9%22	https://sedecordlegame.org/assets/img/stars.svg	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/stars.svg	(from https://sedecordlegame.org/assets/css/main.min.css?v1.65)
20:08:29	6272/6272	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226315e950-1880%22	https://sedecordlegame.org/assets/img/logo.svg	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/logo.svg	(from https://sedecordlegame.org/assets/css/sedecordlegame.css?v1740506870)
20:08:30	6272/6272	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226315e970-1880%22	https://sedecordlegame.org/assets/img/logo-dark.svg	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/logo-dark.svg	(from https://sedecordlegame.org/assets/css/sedecordlegame.css?v1740506870)
20:08:30	39733/39733	---MCZ	200	added ('OK')	text/css	etag:W/%2263233dd1-9b35%22	https://sedecordlegame.org/assets/css/sedecordlegame.css?v1740506898	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/css/sedecordlegameacbe.css	(from https://sedecordlegame.org/4-letter-sedecordle)
20:08:30	39733/39733	---MCZ	200	added ('OK')	text/css	etag:W/%2263233dd1-9b35%22	https://sedecordlegame.org/assets/css/sedecordlegame.css?v1740506900	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/css/sedecordlegamebfc6.css	(from https://sedecordlegame.org/5-letter-sedecordle)
20:08:31	39733/39733	---MCZ	200	added ('OK')	text/css	etag:W/%2263233dd1-9b35%22	https://sedecordlegame.org/assets/css/sedecordlegame.css?v1740506902	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/css/sedecordlegameb480.css	(from https://sedecordlegame.org/6-letter-sedecordle)
20:08:31	39733/39733	---MCZ	200	added ('OK')	text/css	etag:W/%2263233dd1-9b35%22	https://sedecordlegame.org/assets/css/sedecordlegame.css?v1740506905	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/css/sedecordlegame8aa0.css	(from https://sedecordlegame.org/privacy-policy)
